latitude,longitude,mg,diff
23.56,121.28,5.4,0.1
23.82,122.62,5.2,0.03
23.45,120.51,5.9,0
23.43,120.51,5.6,0.27
24.01,121.56,5.4,0.07
23.38,121.52,6.3,0.23
21.15,121.89,5,0.17
25.35,123.9,5,0
24.01,122.6,5,3.13
23.35,120.93,5.3,0.33
25.29,123.83,5.2,2.73
24.22,121.06,5.4,0
24.2,121.1,5.1,0.03
24.19,121,5.2,0.77
23.84,121.23,6.4,0.3
23.87,121.29,5.3,0.83
23.98,121.54,5.4,0.33
24.77,122.48,5,0.13
23.36,120.92,5.7,0.87
23.62,121.47,5.3,0.6
24.01,121.53,5.8,0.2
24.03,122.47,5.3,1.77
23.25,124.15,5.7,1.13
24.15,122.49,5.4,0.47
20.97,122.06,5,0.13
24.32,122.97,5.1,0.4
23.99,121.05,5.1,1.2
24.58,122.45,5.2,0.43
23.74,121.18,5.3,3.47
24.46,122.4,5.6,0
23.89,123.42,5.4,0.03
24.51,122.03,5.9,0.17
23.04,121.11,5.4,0
23.09,121.22,5.1,1.6
21.49,121.07,5,1.4
23.2,120.76,5,1.8
24.82,122.72,5.1,1.27
23.95,122.73,6.8,0
24.03,122.84,5,0
23.95,122.82,5.3,0.13
24.07,122.69,5.2,0.2
24.12,122.77,5.1,1.53
23.72,121.56,5.7,1.4
23.35,124.09,6.4,0
23.23,123.99,5,0.17
24.28,122.18,7.1,0.1
24.29,121.84,5.3,0.57
22.81,121.7,5.1,0.27
24.2,122.68,5.2,0.4
22.13,121.54,5,0
23.93,122.87,5,0.17
24.64,121.92,6.2,0.43
24.07,122.26,6.1,0.53
24.8,122.23,5.2,0.93
24.08,122.29,5.8,0.2
23.34,122.21,5.2,0.8
24.17,121.67,5.2,0.6
22.12,121.58,5.6,0.13
24.06,122.27,5.5,0
24.08,122.33,5.3,0.3
24.86,122.08,5,0.17
24.1,122.46,5.1,0.03
25.15,122.27,5.5,1.23
25.17,123.81,5,0
25.23,123.93,5.1,0.03
25.22,123.8,5.2,0
25.2,123.85,5.2,0
25.23,123.84,5.1,0
25.13,123.83,5.2,0
25.22,123.75,5.4,0
25.19,123.67,5.1,0
25.19,123.77,5.4,0
25.18,123.71,5.3,0
25.25,123.7,5.2,0.03
25.21,123.73,5.3,1.07
23.93,122.74,5.3,0.13
23.79,123.23,5.1,0.7
21.74,121.55,5.1,0.9
23.51,120.71,5,0.73
20.89,121.57,5.1,3.2
25.07,122.39,5.1,0.83
24.41,122.02,5.8,0.03
23.52,121.63,6,0.2
23.53,121.61,5.5,1.47
24.12,122.61,5.2,0.17
21.99,120.59,5,1.23
22.66,121.6,5,3.03
23.04,121.36,6.8,0.03
22.72,121.52,5.5,0.2
22.5,121.47,5.4,0.5
23.32,121.61,5.2,1.13
23.41,122,5.4,0.73
24.12,123.09,5.3,2.17
24.08,121.61,5.2,0.23
21.95,121.6,5.6,0.03
24.56,121.82,5,0.23
23.1,121.81,5.6,0.1
22.66,121.51,6.2,1.6
24.86,122.24,5.2,1.5
23.93,123.37,5.4,1.87
24.53,122.69,6.7,0.8
24.1,122.54,6.3,0
24.08,122.55,5.2,0.07
24.08,122.34,5.1,0.03
24.41,122.23,5.7,1.17
24.13,122.37,5.1,1.2
24.7,122.46,5.2,0.37
24.29,121.78,5,0.57
23.21,121.56,5.4,0.5
24.64,121.94,5.7,0
24.72,121.92,5.7,1.87
23.96,121.64,5.3,1.07
24.72,122.06,5.4,0.2
23.96,121.88,5,1.43
24.72,122.34,5.2,1.6
24.08,122.19,5.8,0.67
23.21,121.41,5.2,0.57
21.33,120.3,5,0.07
25.31,123.35,6.4,5.6
22.87,121.28,6.1,0.47
22.8,121.36,5.9,0.43
23.96,121.57,5.2,0.3
21.56,120.81,5.4,0.6
20.65,120.11,5.1,0.37
21.56,121.92,5,1.77
24.18,122.53,5.9,0.47
22.45,121.53,5.2,0.53
24.95,122.94,5.4,1.43
20.65,120.02,6.3,0
20.7,120,5,0
20.75,119.95,5,0
20.54,120.04,5.1,0
20.63,119.9,5.2,0
20.71,119.98,5.9,0
20.66,119.93,5,0
20.52,120.05,5,0.03
20.55,120.16,5,0
20.77,120.02,5.1,0.03
20.69,119.95,5.2,0
20.69,119.95,5.2,0
20.71,120.08,5.7,0
20.73,120.13,5,0.03
20.71,119.97,5,0
24.15,122.63,5.7,1.07
20.66,120,5.2,0.17
20.49,120.26,5.3,0.83
20.89,119.9,5.1,0.33
24.77,122.26,5.1,0.1
21.8,120.55,7.1,0
21.97,120.49,6.9,0
21.64,120.85,5.5,0
22.07,120.41,5.4,0
21.8,120.63,5.3,0.03
22,120.48,5.6,0.57
21.15,121.53,5.1,0.1
24.01,122.49,5.2,0.3
22.56,121.93,6,0.8
21.68,120.48,5.3,0.57
24.06,122.38,5.1,1.5
21.14,122.13,5.5,0.77
20.5,120.26,5,1.27
20.98,121.48,5.1,1.07
23.67,121.63,5.2,0.57
22.58,121.1,5.3,0.67
21.79,121.43,5.4,0.27
24.34,122.22,6.2,0
24.37,122.34,5.2,1.37
23.5,121.71,5,1.63
22.98,121.37,5,2.47
23.28,121.45,5.4,0.53
23.12,120.83,5.2,1.37
22.82,121.47,5,0.3
22.88,121.62,6,0
22.88,121.65,5.1,0
22.77,121.72,5,0.57
